game_day,club,step_number,total_steps,difficulty,nationality,pool_size,sample_players,valid_players
8,Galatasaray,4,4,The Unicorn,Japan,2,"[""Yuto Nagatomo"", ""Junichi Inamoto""]","[""Yuto Nagatomo"", ""Junichi Inamoto""]"
9,Celtic,1,4,Easy,Scotland,101,"[""Kenny Dalglish"", ""Craig Gordon"", ""Kieran Tierney""]","[""Kenny Dalglish"", ""Craig Gordon"", ""Kieran Tierney"", ""Ryan Christie"", ""Callum McGregor"", ""Stuart Armstrong"", ""Jack Hendry"", ""James Forrest"", ""Anthony Ralston"", ""Oliver Burke"", ""Greg Taylor"", ""John Kennedy"", ""Lewis Morgan"", ""Liam Henderson"", ""Stephen Welsh"", ""Stephen McManus"", ""Kenny Miller"", ""Scott Brown"", ""David Turnbull"", ""Colby Donovan"", ""Marcus Fraser"", ""Gary Caldwell"", ""Scott Bain"", ""Barry Robson"", ""Dane Murray"", ""James Scott"", ""Kris Commons"", ""Charlie Mulgrew"", ""Adam Montgomery"", ""Mitchel Frame"", ""Ethan Ross"", ""Jamie Smith"", ""David Marshall"", ""Rab Douglas"", ""Leigh Griffiths"", ""Daniel Cummings"", ""Gary Mackay-Steven"", ""Luke McCowan"", ""Tony Watt"", ""Ross Wallace"", ""Craig Beattie"", ""Mark Wilson"", ""Stuart Findlay"", ""Stephen Pearson"", ""Ewan Henderson"", ""Calvin Miller"", ""Scott Robertson"", ""Jamie McCart"", ""Ross Doohan"", ""Sean Mackie"", ""Jim O'Brien"", ""Paul McGowan"", ""Scott Allan"", ""Ethan Erhahon"", ""Jamie Lindsay"", ""Daniel Kelly"", ""Paul McMullan"", ""Mark Fotheringham"", ""Kevin McBride"", ""Mark Brown"", ""Barry Smith"", ""Gary Irvine"", ""Paul Lawson"", ""Michael Gardyne"", ""Dean Campbell"", ""Dylan McGeouch"", ""Callumn Morrison"", ""Ryan Conroy"", ""Joe Chalmers"", ""James Keatings"", ""Mark Millar"", ""Lewis Toshney"", ""Kerr McInroy"", ""Joe Thomson"", ""Paul Slane"", ""Ben Summers"", ""Sam Wardrop"", ""Jack Aitchison"", ""Simon Ferry"", ""Jude Bonnar"", ""John Herron"", ""Mark Burchill"", ""Gerry Britton"", ""John Hughes"", ""Scott Cuthbert"", ""Paul Hartley"", ""Steve Fulton"", ""Paul Lambert"", ""Alan Reid"", ""Tom Boyd"", ""Jon-Paul McGovern"", ""John Paul McBride"", ""Stephen Crainey"", ""Derek Riordan"", ""Paul Shields"", ""Paul Caddis"", ""Derek Whyte"", ""Jackie McNamara"", ""Simon Donnelly"", ""Gary Holt"", ""Malky Mackay""]"
9,Celtic,2,4,Medium,Sweden,9,"[""Freddie Ljungberg"", ""John Guidetti"", ""Benjamin Nygren""]","[""Freddie Ljungberg"", ""John Guidetti"", ""Benjamin Nygren"", ""Carl Starfelt"", ""Gustaf Lagerbielke"", ""Mikael Lustig"", ""Viktor Noring"", ""Magnus Hedman"", ""Johan Mjällby""]"
9,Celtic,3,4,Hard,Netherlands,9,"[""Virgil van Dijk"", ""Pierre van Hooijdonk"", ""Jeremie Frimpong""]","[""Virgil van Dijk"", ""Pierre van Hooijdonk"", ""Jeremie Frimpong"", ""Derk Boerrigter"", ""Glenn Loovens"", ""Jos Hooiveld"", ""Dorus de Vries"", ""Bobby Petta"", ""Jan Vennegoor of Hesselink""]"
9,Celtic,4,4,The Unicorn,Costa Rica,1,"[""Cristian Gamboa""]","[""Cristian Gamboa""]"
10,Real Madrid,1,4,Easy,France,13,"[""Kylian Mbappé"", ""Raphaël Varane"", ""Zinedine Zidane""]","[""Kylian Mbappé"", ""Raphaël Varane"", ""Zinedine Zidane"", ""Karim Benzema"", ""Aurélien Tchouaméni"", ""Eduardo Camavinga"", ""Theo Hernández"", ""Nicolas Anelka"", ""Claude Makélélé"", ""Ferland Mendy"", ""Lassana Diarra"", ""Alphonse Areola"", ""Enzo Zidane""]"
10,Real Madrid,2,4,Medium,Portugal,5,"[""Cristiano Ronaldo"", ""Luís Figo"", ""Pepe""]","[""Cristiano Ronaldo"", ""Luís Figo"", ""Pepe"", ""Ricardo Carvalho"", ""Fábio Coentrão""]"
10,Real Madrid,3,4,Hard,Croatia,4,"[""Luka Modrić"", ""Mateo Kovacic"", ""Robert Jarni""]","[""Luka Modrić"", ""Mateo Kovacic"", ""Robert Jarni"", ""Davor Suker""]"
10,Real Madrid,4,4,The Unicorn,Colombia,1,"[""James Rodríguez""]","[""James Rodríguez""]"
11,Manchester United,1,4,Easy,France,10,"[""Paul Pogba"", ""Raphaël Varane"", ""Eric Cantona""]","[""Paul Pogba"", ""Raphaël Varane"", ""Eric Cantona"", ""Patrice Evra"", ""Fabien Barthez"", ""Anthony Martial"", ""Leny Yoro"", ""Morgan Schneiderlin"", ""Willy Kambwala"", ""Laurent Blanc""]"
11,Manchester United,2,4,Medium,Denmark,7,"[""Christian Eriksen"", ""Peter Schmeichel"", ""Rasmus Højlund""]","[""Christian Eriksen"", ""Peter Schmeichel"", ""Rasmus Højlund"", ""Patrick Dorgu"", ""Chido Obi"", ""Anders Lindegaard"", ""Mads Timm""]"
11,Manchester United,3,4,Hard,Portugal,5,"[""Cristiano Ronaldo"", ""Bruno Fernandes"", ""Nani""]","[""Cristiano Ronaldo"", ""Bruno Fernandes"", ""Nani"", ""Diogo Dalot"", ""Joel Pereira""]"
11,Manchester United,4,4,The Unicorn,Colombia,1,"[""Radamel Falcao""]","[""Radamel Falcao""]"
12,AC Milan,1,4,Easy,France,17,"[""Olivier Giroud"", ""Adrien Rabiot"", ""Theo Hernández""]","[""Olivier Giroud"", ""Adrien Rabiot"", ""Theo Hernández"", ""Jean-Pierre Papin"", ""Marcel Desailly"", ""Christopher Nkunku"", ""Mike Maignan"", ""Youssouf Fofana"", ""Tiemoué Bakayoko"", ""Pierre Kalulu"", ""Yoann Gourcuff"", ""Philippe Mexès"", ""Jérémy Ménez"", ""Warren Bondo"", ""Soualiho Meïté"", ""Adil Rami"", ""Mathieu Flamini""]"
12,AC Milan,2,4,Medium,Croatia,10,"[""Luka Modrić"", ""Mario Pašalić"", ""Mario Mandžukić""]","[""Luka Modrić"", ""Mario Pašalić"", ""Mario Mandžukić"", ""Zvonimir Boban"", ""Ante Rebić"", ""Nikola Kalinic"", ""Alen Halilovic"", ""Antonio Mionic"", ""Dario Simic"", ""Dario Smoje""]"
12,AC Milan,3,4,Hard,Ivory Coast,2,"[""Franck Kessié"", ""Chaka Traorè""]","[""Franck Kessié"", ""Chaka Traorè""]"
12,AC Milan,4,4,The Unicorn,Gabon,1,"[""Pierre-Emerick Aubameyang""]","[""Pierre-Emerick Aubameyang""]"
13,Borussia Dortmund,1,4,Easy,Germany,95,"[""Mats Hummels"", ""İlkay Gündoğan"", ""Mario Götze""]","[""Mats Hummels"", ""İlkay Gündoğan"", ""Mario Götze"", ""Niklas Süle"", ""Jens Lehmann"", ""Marcel Schmelzer"", ""Marco Reus"", ""Sven Bender"", ""Sebastian Kehl"", ""Andreas Möller"", ""Neven Subotic"", ""Stefan Reuter"", ""Roman Weidenfeller"", ""Jürgen Kohler"", ""Lars Ricken"", ""Karl-Heinz Riedle"", ""Matthias Sammer"", ""Julian Brandt"", ""Emre Can"", ""Matthias Ginter"", ""Nico Schlotterbeck"", ""Karim Adeyemi"", ""Felix Nmecha"", ""Maximilian Beier"", ""Ansgar Knauff"", ""Jonas Hofmann"", ""Niclas Füllkrug"", ""Waldemar Anton"", ""Julian Weigl"", ""Youssoufa Moukoko"", ""Pascal Groß"", ""André Schürrle"", ""Maximilian Philipp"", ""Leonardo Bittencourt"", ""Nico Schulz"", ""Jeremy Toljan"", ""Diant Ramaj"", ""Tom Rothe"", ""Niklas Beste"", ""Gonzalo Castro"", ""Marius Wolf"", ""Pascal Stenzel"", ""Daniel Ginczek"", ""Marvin Ducksch"", ""Sebastian Rode"", ""Kevin Großkreutz"", ""Justin Njinmah"", ""Hendry Blank"", ""Koray Günter"", ""Julian Schieber"", ""Felix Passlack"", ""Ole Pohlmann"", ""Kjell Wätjen"", ""Erik Durm"", ""Samuel Bamba"", ""Manuel Friedrich"", ""Moritz Leitner"", ""Almugera Kabar"", ""David Odonkor"", ""Marco Stiepermann"", ""Steffen Tigges"", ""Marcel Lotka"", ""Antonios Papadopoulos"", ""Markus Feulner"", ""Martin Amedick"", ""Yannik Lührs"", ""Marvin Bakalorz"", ""Jeremy Dudziak"", ""Uwe Hünemeier"", ""Chris Löwe"", ""Lasse Sobiech"", ""Oliver Kirch"", ""Julian Koch"", ""Tobias Raschl"", ""Luca Unbehaun"", ""Marc Ziegler"", ""Patrick Drewes"", ""Lukas Kruse"", ""Alexander Meyer"", ""Eric Oelschlägel"", ""Marc Hornschuh"", ""Lion Semic"", ""Hendrik Bonmann"", ""Tim Dierßen"", ""Christian Timm"", ""Thomas Hengen"", ""Malte Metzelder"", ""Marc-André Kruska"", ""René Schneider"", ""Torsten Frings"", ""Alexander Bade"", ""Carsten Wolters"", ""Martin Driller"", ""Stefan Klos"", ""Markus Brzenska""]"
13,Borussia Dortmund,2,4,Medium,France,6,"[""Ousmane Dembélé"", ""Dan-Axel Zagadou"", ""Joane Gadou""]","[""Ousmane Dembélé"", ""Dan-Axel Zagadou"", ""Joane Gadou"", ""Anthony Modeste"", ""Soumaïla Coulibaly"", ""Guillaume Warmuz""]"
13,Borussia Dortmund,3,4,Hard,Poland,4,"[""Robert Lewandowski"", ""Łukasz Piszczek"", ""Jakub Blaszczykowski""]","[""Robert Lewandowski"", ""Łukasz Piszczek"", ""Jakub Blaszczykowski"", ""Lukasz Piszczek""]"
13,Borussia Dortmund,4,4,The Unicorn,Gabon,1,"[""Pierre-Emerick Aubameyang""]","[""Pierre-Emerick Aubameyang""]"
