game_day,target_player,target_nationality,target_position,total_steps,step_number,new_constraint,club,active_constraints,active_clubs,valid_players
18,Georginio Rutter,France,Attack,4,2,Played for Rennes,Rennes,"[""Played for France"", ""Played for Rennes""]","[""France"", ""Rennes""]","[""Adama Diakhaby"", ""Adrien Hunou"", ""Adrien Thomasson"", ""Adrien Truffert"", ""Alou Diarra"", ""Andy Diouf"", ""Anthony Ribelin"", ""Anthony Rouault"", ""Anthony Réveillère"", ""Armand Laurienté"", ""Arnaud Kalimuendo"", ""Arnaud Le Lan"", ""Arnaud Nordin"", ""Arthur Sorin"", ""Axel Ngando"", ""Baptiste Santamaria"", ""Benjamin André"", ""Benjamin Bourigeaud"", ""Benoît Costil"", ""Benoît Le Bris"", ""Bernard Lama"", ""Bira Dembélé"", ""Brandon Soppy"", ""Brice Samba"", ""Christian Bassila"", ""Clément Chantôme"", ""Clément Grenier"", ""Cyril Jeunechamp"", ""Cédric Barbosa"", ""Damien Da Silva"", ""Damien Le Tallec"", ""David Merdy"", ""Denis-Will Poha"", ""Djaoui Cissé"", ""Désiré Doué"", ""Eduardo Camavinga"", ""Enzo Le Fée"", ""Estéban Lepaul"", ""Fabien Lemoine"", ""Fabrice Catherine"", ""Fabrice Fernandes"", ""Faitout Maouassa"", ""Flavien Tait"", ""Florent Chaigneau"", ""Franck Julienne"", ""Frédéric Adam"", ""Frédéric Jay"", ""Gauthier Gallon"", ""Gaël Danic"", ""Gaëtan Caro"", ""Gaëtan Laborde"", ""Georginio Rutter"", ""Grégory Bourillon"", ""Grégory Paisley"", ""Grégory Vignal"", ""Guillaume Borne"", ""Hakim El Mokeddem"", ""Hatem Ben Arfa"", ""Jean-Yves Anis"", ""Jeanuël Belocian"", ""Jimmy Briand"", ""Jirès Kembo Ekoko"", ""Johann Carrasso"", ""John Mendy"", ""Jonas Martin"", ""Jonathan Do Marcolino"", ""Joris Gnagnon"", ""Julien Escudé"", ""Julien Féret"", ""Junior Kadile"", ""Jérémy Gélin"", ""Jérémy Jacquet"", ""Jérôme Leroy"", ""Laurent Viaud"", ""Lesley Ugochukwu"", ""Lhadji Badiane"", ""Lilian Brassier"", ""Lorenz Assignon"", ""Loum Tchaouna"", ""Loïc Badiashile"", ""Loïc Badé"", ""Lucas Da Cunha"", ""Ludovic Blas"", ""Mahdi Camara"", ""Martin Terrier"", ""Mathis Lambourde"", ""Mathys Silistrie"", ""Mathys Tel"", ""Matthis Abline"", ""Maxime Le Marchand"", ""Mikaël Silvestre"", ""Morgan Amalfitano"", ""Naouirou Ahamada"", ""Nicolas Douchez"", ""Nicolas Goussé"", ""Nicolas Janvier"", ""Noah Françoise"", ""Nordan Mukiele"", ""Olivier Monterrubio"", ""Olivier Sorlin"", ""Ousmane Dabo"", ""Ousmane Dembélé"", ""Patrice Luzi"", ""Paul Nardi"", ""Quentin Merlin"", ""Rayan Bamba"", ""Rod Fanni"", ""Romain Danzé"", ""Romain Del Castillo"", ""Romain Salin"", ""Sabri Toufiqui"", ""Sacha Boey"", ""Samuel Souprayen"", ""Simon Pouplin"", ""Steve Mandanda"", ""Steven Nzonzi"", ""Stéphane Dalmat"", ""Stéphane Ziani"", ""Sylvain Marveaux"", ""Sylvain Wiltord"", ""Sébastien Puygrenier"", ""Séga Coulibaly"", ""Tiemoué Bakayoko"", ""Timothé Nkada"", ""Toifilou Maoulida"", ""Tony Heurtebis"", ""Ulrich Le Pen"", ""Valentin Rongier"", ""Vincent Pajot"", ""Wesley Saïd"", ""Yann Gboho"", ""Yoann Gourcuff"", ""Zana Allée"", ""Étienne Didot""]"
18,Georginio Rutter,France,Attack,4,3,Played for Brighton & Hove Albion,Brighton & Hove Albion,"[""Played for France"", ""Played for Rennes"", ""Played for Brighton & Hove Albion""]","[""France"", ""Rennes"", ""Brighton & Hove Albion""]","[""Florent Chaigneau"", ""Georginio Rutter""]"
18,Georginio Rutter,France,Attack,4,4,Played for Leeds United,Leeds United,"[""Played for France"", ""Played for Rennes"", ""Played for Brighton & Hove Albion"", ""Played for Leeds United""]","[""France"", ""Rennes"", ""Brighton & Hove Albion"", ""Leeds United""]","[""Georginio Rutter""]"
19,Lucas Paquetá,Brazil,Midfield,4,1,Played for AC Milan,AC Milan,"[""Played for AC Milan""]","[""AC Milan""]","[""Adel Taarabt"", ""Adil Rami"", ""Adnan Zahirovic"", ""Adrien Rabiot"", ""Adrià Carmona"", ""Alberto Aquilani"", ""Alberto Gilardino"", ""Alberto Paloschi"", ""Alen Halilovic"", ""Alessandro Costacurta"", ""Alessandro Florenzi"", ""Alessandro Matri"", ""Alessandro Nesta"", ""Alessandro Plizzari"", ""Alessandro Sala"", ""Alessio Cerci"", ""Alessio Romagnoli"", ""Alex"", ""Alex Pontons"", ""Alexander Merkel"", ""Alexandre Pato"", ""Alexandro Cavagnera"", ""Alexis Saelemaekers"", ""Aliyu Datti"", ""Alphadjo Cissè"", ""Ameth Lo"", ""Andrea Bertolacci"", ""Andrea Bianchimano"", ""Andrea Conti"", ""Andrea Petagna"", ""Andrea Pirlo"", ""Andrea Poli"", ""Andrea Rabito"", ""Andrea Schenetti"", ""Andreas Jungdal"", ""Andrej Modic"", ""Andriy Shevchenko"", ""André Silva"", ""Andrés Guglielminpietro"", ""Andrés Llamas"", ""Angelo Carbone"", ""Ante Rebić"", ""Antonio Donnarumma"", ""Antonio Mionic"", ""Antonio Mirante"", ""Antonio Nocerino"", ""Ardon Jashari"", ""Asmir Begovic"", ""Aster Vranckx"", ""Attila Filkor"", ""Bartosz Salamon"", ""Bojan Krkic"", ""Brahim Díaz"", ""Brian Laudrup"", ""Bruno Montelongo"", ""Bryan Cristante"", ""Buba Jammeh"", ""Cafu"", ""Carlo Cudicini"", ""Carlo Teodorani"", ""Carlos Bacca"", ""Catilina Aubameyang"", ""Chaka Traorè"", ""Charles De Ketelaere"", ""Christian Abbiati"", ""Christian Comotto"", ""Christian Panucci"", ""Christian Pulisic"", ""Christian Vieri"", ""Christopher Nkunku"", ""Clarence Seedorf"", ""Cosmin Contra"", ""Cristian Brocchi"", ""Cristian Galliani"", ""Cristian Zaccardo"", ""Cristian Zapata"", ""Cristian Zenoni"", ""Cyril Domoraud"", ""Daniel Maldini"", ""Daniele Bonera"", ""Dario Simic"", ""Dario Smoje"", ""David Beckham"", ""David Odogu"", ""Davide Astori"", ""Davide Bartesaghi"", ""Davide Calabria"", ""Davide Di Gennaro"", ""Davide Di Molfetta"", ""Davide Dionigi"", ""Davide Facchin"", ""Davide Narduzzo"", ""Dejan Savićević"", ""Devis Vásquez"", ""Dida"", ""Diego Laxalt"", ""Diego López"", ""Diogo Dalot"", ""Divock Origi"", ""Djamel Mesbah"", ""Dominic Adiyiah"", ""Dídac Vilà"", ""Ebrima Ceesay"", ""Edgar Davids"", ""Edmund Hottor"", ""Elia Legati"", ""Emanuele Orlandi"", ""Emerson"", ""Emerson Royal"", ""Emil Roback"", ""Eros Favaretto"", ""Ezekiel Henty"", ""Fabio Borini"", ""Fabricio Coloccini"", ""Favour Aniekan"", ""Federico Furlan"", ""Felipe Mattioni"", ""Ferdinando Coppola"", ""Fernando Redondo"", ""Fernando Torres"", ""Fikayo Tomori"", ""Filippo Inzaghi"", ""Filippo Maniero"", ""Filippo Perucchini"", ""Filippo Porcari"", ""Filippo Terracciano"", ""Flavio Roma"", ""Fodé Ballo-Touré"", ""Francesco Acerbi"", ""Francesco Antonioli"", ""Francesco Camarda"", ""Francesco Coco"", ""Francesco De Francesco"", ""Francesco Toldo"", ""Franck Kessié"", ""Franco Baresi"", ""Frank Rijkaard"", ""Frank Tsadjout"", ""Gabriel"", ""Gabriel Paletta"", ""Gabriele Aldegani"", ""Gabriele Capanni"", ""Gennaro Gattuso"", ""George Weah"", ""Gerard Deulofeu"", ""Giacomo Beretta"", ""Giacomo Bonaventura"", ""Giampaolo Pazzini"", ""Giampiero Maini"", ""Gian Filippo Felicioli"", ""Gianluca Lapadula"", ""Gianluca Sordo"", ""Gianluca Zambrotta"", ""Gianluigi Donnarumma"", ""Gianluigi Lentini"", ""Gianmarco Zigoni"", ""Gianmario Comi"", ""Gianni Comandini"", ""Giorgio Frezzolini"", ""Giorgio Gianola"", ""Giovane Élber"", ""Giovanni Crociata"", ""Giuseppe Cardone"", ""Giuseppe Favalli"", ""Giuseppe Pancaro"", ""Giuseppe Ticli"", ""Gonzalo Higuaín"", ""Gustavo Gómez"", ""Hachim Mastour"", ""Hakan Çalhanoğlu"", ""Harmony Ikande"", ""Harvey Esajas"", ""Hernán Crespo"", ""Ibrahim Bá"", ""Ignazio Abate"", ""Ismaël Bennacer"", ""Ismet Sinani"", ""Ivan De Santis"", ""Jaap Stam"", ""Jan-Carlo Simić"", ""Javi Moreno"", ""Jean-Pierre Papin"", ""Jens Lehmann"", ""Jens Petter Hauge"", ""Jherson Vergara"", ""Johad Ferretti"", ""Johann Vogel"", ""Jon Dahl Tomasson"", ""José Chamot"", ""José Mari"", ""José Mauri"", ""José Sosa"", ""João Félix"", ""Junior Messias"", ""Juraj Kucka"", ""Jérémy Ménez"", ""Kakhaber Kaladze"", ""Kaká"", ""Keisuke Honda"", ""Kevin Zeroli"", ""Kevin-Prince Boateng"", ""Kingsley Boateng"", ""Kingsley Umunegbu"", ""Klaas-Jan Huntelaar"", ""Koni De Winter"", ""Krisztián Tamás"", ""Krzysztof Piatek"", ""Kyle Walker"", ""Kévin Constant"", ""Lapo Nava"", ""Leandro Grimi"", ""Leonardo"", ""Leonardo Bonucci"", ""Leonel Vangioni"", ""Leroy Abanda"", ""Lino Marzorati"", ""Lorenzo Colombo"", ""Lorenzo Torriani"", ""Luan Capanni"", ""Luca Antonelli"", ""Luca Antonini"", ""Luca Ceccarelli"", ""Luca Scapuzzi"", ""Luca Vido"", ""Lucas Biglia"", ""Lucas Ocampos"", ""Lucas Paquetá"", ""Luiz Adriano"", ""Luka Jović"", ""Luka Modrić"", ""Luka Romero"", ""Léo Duarte"", ""M'Baye Niang"", ""Malick Thiaw"", ""Manuel Locatelli"", ""Marcel Desailly"", ""Marco Amelia"", ""Marco Bergamini"", ""Marco Bonura"", ""Marco Borriello"", ""Marco Bortoli"", ""Marco Brescianini"", ""Marco Donadel"", ""Marco Fossati"", ""Marco Frigerio"", ""Marco Nasti"", ""Marco Pellegrino"", ""Marco Pinato"", ""Marco Speranza"", ""Marco Sportiello"", ""Marco Storari"", ""Marco van Basten"", ""Marco van Ginkel"", ""Marcus Diniz"", ""Marek Jankulovski"", ""Mario Balotelli"", ""Mario Mandžukić"", ""Mario Pašalić"", ""Mario Stancanelli"", ""Mario Yepes"", ""Mark van Bommel"", ""Marko Lazetić"", ""Martin Laursen"", ""Martino Traversa"", ""Massimo Ambrosini"", ""Massimo Donati"", ""Massimo Maccarone"", ""Mateo Musacchio"", ""Mathieu Flamini"", ""Mathías Cardacio"", ""Matteo Ardemagni"", ""Matteo Bruscagin"", ""Matteo Contini"", ""Matteo Darmian"", ""Matteo Gabbia"", ""Matteo Pelatti"", ""Matteo Pessina"", ""Mattia Caldara"", ""Mattia De Sciglio"", ""Mattia Desolé"", ""Mattia Destro"", ""Mattia El Hilali"", ""Mattia Graffiedi"", ""Mattia Valoti"", ""Matías Silvestre"", ""Maurizio Domizzi"", ""Maurizio Ganz"", ""Mauro Bacchin"", ""Mauro Tassotti"", ""Max Tonetto"", ""Maxi López"", ""Michael Agazzi"", ""Michael Essien"", ""Michael Fabbro"", ""Michal Miskiewicz"", ""Michelangelo Albertazzi"", ""Michele Ferri"", ""Michele Piccolo"", ""Mike Maignan"", ""Mirco Sadotti"", ""Mohamed Sarr"", ""Momodou Cham"", ""Mustapha Deen"", ""Márcio Amoroso"", ""Niccolò Zanellato"", ""Niclas Füllkrug"", ""Nicola Corrent"", ""Nicola Legrottaglie"", ""Nicola Pozzi"", ""Nigel de Jong"", ""Nnamdi Oduamadi"", ""Noah Okafor"", ""Oguchi Onyewu"", ""Oliver Bierhoff"", ""Olivier Giroud"", ""Pablo Armero"", ""Pablo García"", ""Paolo Di Canio"", ""Paolo Ginestra"", ""Paolo Maldini"", ""Paolo Sammarco"", ""Pasquale Foggia"", ""Patrick Cutrone"", ""Patrick Kalambay"", ""Patrick Kluivert"", ""Patrick Vieira"", ""Pelé"", ""Pepe Reina"", ""Pervis Estupiñán"", ""Philippe Mexès"", ""Philippe Senderos"", ""Pierre Kalulu"", ""Pierre-Emerick Aubameyang"", ""Pietro Pellegri"", ""Pietro Terracciano"", ""Rade Krunic"", ""Rafael Leão"", ""Ricardo Oliveira"", ""Ricardo Rodríguez"", ""Riccardo Forte"", ""Riccardo Montolivo"", ""Riccardo Saponara"", ""Riccardo Sottil"", ""Riccardo Tonin"", ""Rivaldo"", ""Roberto Baggio"", ""Roberto De Zerbi"", ""Roberto Massaro"", ""Robinho"", ""Rodney Strasser"", ""Rodrigo Ely"", ""Ronaldinho"", ""Ronaldo"", ""Roque Júnior"", ""Ruben Loftus-Cheek"", ""Rui Costa"", ""Ruud Gullit"", ""Sabino Signorile"", ""Salvatore Bocchetti"", ""Samir Beloufa"", ""Samu Castillejo"", ""Samuel Chukwueze"", ""Samuele Dalla Bona"", ""Samuele Ricci"", ""Sandro Bloudek"", ""Sandro Tonali"", ""Santiago Gimenez"", ""Serginho"", ""Sergiño Dest"", ""Simon Kjær"", ""Simone Ganz"", ""Simone Giovanni Brunelli"", ""Simone Romagnoli"", ""Simone Verdi"", ""Sokratis Papastathopoulos"", ""Soualiho Meïté"", ""Stefan Simic"", ""Stephan El Shaarawy"", ""Strahinja Pavlović"", ""Sulley Muntari"", ""Suso"", ""Tabaré Viúdez"", ""Tammy Abraham"", ""Taribo West"", ""Theo Hernández"", ""Thiago Silva"", ""Thomas Helveg"", ""Tiago Dias"", ""Tiemoué Bakayoko"", ""Tijjani Reijnders"", ""Tommaso Pobega"", ""Urby Emanuelson"", ""Valerio Fiori"", ""Valter Birsa"", ""Vincenzo Maiolo"", ""Vitaliy Kutuzov"", ""Warren Bondo"", ""Wilfred Osuji"", ""William Nava"", ""William-Fils Aubameyang"", ""Winston Bogarde"", ""Yacine Adli"", ""Yoann Gourcuff"", ""Youssouf Fofana"", ""Yunus Musah"", ""Zachary Athekame"", ""Zan Benedicic"", ""Zizi Roberts"", ""Zlatan Ibrahimović"", ""Zvonimir Boban"", ""Álex Jiménez"", ""Álvaro Morata""]"
19,Lucas Paquetá,Brazil,Midfield,4,2,Played for Brazil,Brazil,"[""Played for AC Milan"", ""Played for Brazil""]","[""AC Milan"", ""Brazil""]","[""Alexandre Pato"", ""Cafu"", ""Dida"", ""Emerson"", ""Emerson Royal"", ""Felipe Mattioni"", ""Gabriel"", ""Giovane Élber"", ""Junior Messias"", ""Kaká"", ""Leonardo"", ""Luan Capanni"", ""Lucas Paquetá"", ""Luiz Adriano"", ""Léo Duarte"", ""Marcus Diniz"", ""Márcio Amoroso"", ""Pelé"", ""Ricardo Oliveira"", ""Rivaldo"", ""Robinho"", ""Rodrigo Ely"", ""Ronaldinho"", ""Ronaldo"", ""Roque Júnior"", ""Serginho"", ""Thiago Silva""]"
19,Lucas Paquetá,Brazil,Midfield,4,3,Played for Flamengo,Flamengo,"[""Played for AC Milan"", ""Played for Brazil"", ""Played for Flamengo""]","[""AC Milan"", ""Brazil"", ""Flamengo""]","[""Emerson Royal"", ""Leonardo"", ""Lucas Paquetá"", ""Léo Duarte"", ""Márcio Amoroso"", ""Ronaldinho"", ""Serginho""]"
19,Lucas Paquetá,Brazil,Midfield,4,4,Played for Lyon,Lyon,"[""Played for AC Milan"", ""Played for Brazil"", ""Played for Flamengo"", ""Played for Lyon""]","[""AC Milan"", ""Brazil"", ""Flamengo"", ""Lyon""]","[""Lucas Paquetá""]"
20,John Stones,England,Defender,4,1,Played for Manchester City,Manchester City,"[""Played for Manchester City""]","[""Manchester City""]","[""Aaron Mooy"", ""Abdisalam Ibrahim"", ""Abdukodir Khusanov"", ""Abdul Razak"", ""Adam Clayton"", ""Adam Johnson"", ""Ahmad Benali"", ""Albert Riera"", ""Aleix García"", ""Aleksandar Kolarov"", ""Alex Nimely"", ""Ali Benarbia"", ""Alioune Touré"", ""Andreas Isaksson"", ""Andrew Tutte"", ""Andrey Kanchelskis"", ""Andy Cole"", ""Angeliño"", ""Angelos Tsiaklis"", ""Angus Gunn"", ""Ante Palaversa"", ""Anthony Cáceres"", ""Antoine Semenyo"", ""Arijanet Murić"", ""Ashley Grimes"", ""Aymeric Laporte"", ""Bacary Sagna"", ""Ben Mee"", ""Benjamin Mendy"", ""Benjani"", ""Bernardo Corradi"", ""Bernardo Silva"", ""Bersant Celina"", ""Bradley Wright-Phillips"", ""Brahim Díaz"", ""Brian Murphy"", ""Bruno Zuculini"", ""Carlo Nash"", ""Carlos Tevez"", ""Ched Evans"", ""Chris Chantler"", ""Chris Greenacre"", ""Chris Killen"", ""Chris Shuker"", ""Claudio Bravo"", ""Claudio Echeverri"", ""Claudio Reyna"", ""Clayton McDonald"", ""Cole Palmer"", ""Costel Pantilimon"", ""Courtney Meppen-Walter"", ""Craig Bellamy"", ""Curtis Obeng"", ""DaMarcus Beasley"", ""Daniel Arzani"", ""Daniel Sturridge"", ""Danilo"", ""Danny Granville"", ""Danny Warrender"", ""Darius Vassell"", ""David Ball"", ""David James"", ""David Pizarro"", ""David Seaman"", ""David Silva"", ""Dedryck Boyata"", ""Dickson Etuhu"", ""Diego Rosa"", ""Dietmar Hamann"", ""Djamel Abdoun"", ""Donal McDermott"", ""Douglas Luiz"", ""Ederson"", ""Edin Džeko"", ""Egil Østenstad"", ""Eirik Holmen"", ""Eliaquim Mangala"", ""Emile Mpenza"", ""Emmanuel Adebayor"", ""Enes Ünal"", ""Enock Kwakwa"", ""Eric García"", ""Eric Nixon"", ""Erik Palmer-Brown"", ""Erling Haaland"", ""Eyal Berkovic"", ""Fabian Delph"", ""Felipe Caicedo"", ""Fernandinho"", ""Fernando"", ""Ferran Torres"", ""Florian Lejeune"", ""Frank Lampard"", ""Frédéric Veseli"", ""Gabriel Jesus"", ""Gai Assulin"", ""Gareth Barry"", ""Gareth Taylor"", ""Garry Flitcroft"", ""Gaël Clichy"", ""Ged Brannan"", ""Gelson Fernandes"", ""George Weah"", ""Georgios Samaras"", ""Geovanni"", ""Gerry Taggart"", ""Gerónimo Rulli"", ""Gianluigi Donnarumma"", ""Giuseppe Mazzarelli"", ""Glenn Whelan"", ""Greg Cunningham"", ""Gunnar Nielsen"", ""Harry Bunn"", ""Hussein Yasser"", ""Ian Brightwell"", ""Ishmael Miller"", ""Issa Kaboré"", ""Jack Grealish"", ""Jack Harrison"", ""Jack Redshaw"", ""Jack Rodwell"", ""James McAtee"", ""James Milner"", ""James Poole"", ""James Trafford"", ""Jason Denayer"", ""Javan Vidal"", ""Javi García"", ""Javier Garrido"", ""Jesús Navas"", ""Jim Bentley"", ""Joan Román"", ""Joe Hart"", ""Joey Barton"", ""John Guidetti"", ""John Stones"", ""Joleon Lescott"", ""Jon Macken"", ""Josh Wilson-Esbrand"", ""Josko Gvardiol"", ""José Pozo"", ""João Cancelo"", ""Julián Alvarez"", ""Juma Bah"", ""Jérémy Doku"", ""Jérôme Boateng"", ""Jô"", ""Kakhaber Tskhadadze"", ""Kalvin Phillips"", ""Karim Rekik"", ""Kasper Schmeichel"", ""Keiren Westwood"", ""Kelechi Iheanacho"", ""Kelvin Etuhu"", ""Kevin De Bruyne"", ""Kevin Horlock"", ""Kevin Stuhr-Ellegaard"", ""Kieran Trippier"", ""Kiki Musampa"", ""Ko Itakura"", ""Kolo Touré"", ""Kyle Walker"", ""Lee Bradbury"", ""Lee Briscoe"", ""Lee Croft"", ""Lee Crooks"", ""Lee Peacock"", ""Leroy Sané"", ""Loris Karius"", ""Luca Scapuzzi"", ""Luka Ilic"", ""Lukas Nmecha"", ""Luke Brattan"", ""Maicon"", ""Manu García"", ""Manuel Akanji"", ""Marc Guéhi"", ""Marc Laird"", ""Marcus Bettinelli"", ""Marek Amiri"", ""Mario Balotelli"", ""Mark Kennedy"", ""Mark Robins"", ""Marlos Moreno"", ""Martin Petrov"", ""Martín Demichelis"", ""Mateo Kovacic"", ""Matheus Nunes"", ""Matija Nastasić"", ""Matías Vuoso"", ""Max Alleyne"", ""Micah Richards"", ""Michael Brown"", ""Michael Hughes"", ""Michael Johnson"", ""Michael Tarnat"", ""Mike Sheron"", ""Mikkel Bischoff"", ""Mohammed Abu"", ""Márton Fülöp"", ""Máximo Perrone"", ""Nahuel Bustos"", ""Nathan Aké"", ""Nedum Onuoha"", ""Neil Brisco"", ""Neil Lennon"", ""Nick Fenton"", ""Nicky Summerbee"", ""Nicky Weaver"", ""Nico González"", ""Nico O'Reilly"", ""Nicolas Anelka"", ""Nicolás Otamendi"", ""Nigel de Jong"", ""Nolito"", ""Olarenwaju Kayode"", ""Oleksandr Zinchenko"", ""Omar Elabdellaoui"", ""Omar Marmoush"", ""Oscar Bobb"", ""Ousmane Dabo"", ""Owen Hargreaves"", ""Pablo Maffeo"", ""Pablo Marí"", ""Pablo Zabaleta"", ""Patrick McCarthy"", ""Patrick Roberts"", ""Patrick Vieira"", ""Paul Dickov"", ""Paul Ritchie"", ""Paul Warhurst"", ""Pedro Porro"", ""Peter Beagrie"", ""Peter Schmeichel"", ""Phil Foden"", ""Philippe Sandler"", ""Raheem Sterling"", ""Rayan Aït-Nouri"", ""Rayan Cherki"", ""Reece Wabara"", ""Richard Dunne"", ""Richard Edghill"", ""Richard McKinney"", ""Rico Lewis"", ""Riyad Mahrez"", ""Robbie Fowler"", ""Robert Mak"", ""Robinho"", ""Rodri"", ""Rolando Bianchi"", ""Ronnie Ekelund"", ""Rony Lopes"", ""Roque Santa Cruz"", ""Rubén Sobrino"", ""Ryan McGivern"", ""Ryotaro Meshino"", ""Rúben Dias"", ""Sam Williamson"", ""Samir Nasri"", ""Savinho"", ""Scott Carson"", ""Scott Evans"", ""Scott Kay"", ""Scott Sinclair"", ""Sergio Agüero"", ""Sergio Gómez"", ""Shaun Goater"", ""Shaun Wright-Phillips"", ""Shay Given"", ""Shay Logan"", ""Simon Colosimo"", ""Simon Royce"", ""Slobodan Tedic"", ""Stefan Ortega"", ""Stefan Savic"", ""Stephen Elliott"", ""Stephen Ireland"", ""Stevan Jovetić"", ""Steve Lomas"", ""Steve McManaman"", ""Stuart Pearce"", ""Stuart Taylor"", ""Sverre Nypan"", ""Sylvain Distin"", ""Sylvinho"", ""Tal Ben Haim"", ""Taylor Harwood-Bellis"", ""Teerasil Dangda"", ""Terry Cooke"", ""Terry Dunfield"", ""Thomas Agyepong"", ""Tijjani Reijnders"", ""Tim Flowers"", ""Tommy Doyle"", ""Tommy Smith"", ""Tony Grant"", ""Tony Vaughan"", ""Trevor Sinclair"", ""Tyrone Loran"", ""Uwe Rösler"", ""Valeri Bozhinov"", ""Vedran Corluka"", ""Vincent Kompany"", ""Vitor Reis"", ""Wayne Bridge"", ""Willo Flood"", ""Willy Caballero"", ""Yan Couto"", ""Yangel Herrera"", ""Yaya Touré"", ""Zack Steffen"", ""Álvaro Negredo"", ""İlkay Gündoğan""]"
20,John Stones,England,Defender,4,2,Played for Everton,Everton,"[""Played for Manchester City"", ""Played for Everton""]","[""Manchester City"", ""Everton""]","[""Andrey Kanchelskis"", ""Carlo Nash"", ""Eliaquim Mangala"", ""Fabian Delph"", ""Gareth Barry"", ""Jack Grealish"", ""Jack Harrison"", ""Jack Rodwell"", ""John Stones"", ""Joleon Lescott"", ""Jô"", ""Peter Beagrie"", ""Richard Dunne"", ""Sylvain Distin"", ""Tony Grant""]"
20,John Stones,England,Defender,4,3,Played for England,England,"[""Played for Manchester City"", ""Played for Everton"", ""Played for England""]","[""Manchester City"", ""Everton"", ""England""]","[""Carlo Nash"", ""Fabian Delph"", ""Gareth Barry"", ""Jack Grealish"", ""Jack Harrison"", ""Jack Rodwell"", ""John Stones"", ""Joleon Lescott"", ""Peter Beagrie"", ""Tony Grant""]"
20,John Stones,England,Defender,4,4,Played for Barnsley,Barnsley,"[""Played for Manchester City"", ""Played for Everton"", ""Played for England"", ""Played for Barnsley""]","[""Manchester City"", ""Everton"", ""England"", ""Barnsley""]","[""John Stones""]"
